iter	MAE	RMSE
0	1.217996696	3.027008379
1	1.196260797	2.974329459
2	1.174816467	2.924423842
3	1.155268572	2.879543951
4	1.135933721	2.838039289
5	1.119045675	2.799666093
6	1.102193126	2.7639494
7	1.086700529	2.731158667
8	1.072872571	2.701121441
9	1.060010105	2.672474999
10	1.04861939	2.647151306
11	1.03704227	2.62147767
12	1.026434483	2.599099383
13	1.016236022	2.578594138
14	1.00722199	2.558874539
15	0.9976549937	2.541400772
16	0.9908802962	2.524754543
17	0.983216852	2.509653031
18	0.975749662	2.494707479
19	0.9684088112	2.480332509
20	0.9625902426	2.467008396
21	0.9579515264	2.454348283
22	0.9533195735	2.443498868
23	0.9477286435	2.433177167
24	0.9421051042	2.42415233
25	0.9373652422	2.414685665
26	0.9340667833	2.404960892
27	0.9309213082	2.395088517
28	0.9279191706	2.386266329
29	0.9247685116	2.378525829
30	0.9217943022	2.371001706
31	0.9176541752	2.364799573
32	0.9134554904	2.35907292
33	0.9109863204	2.353157461
34	0.9073016539	2.348151647
35	0.9040874391	2.342290023
36	0.9017931145	2.336004206
37	0.899890844	2.330366757
38	0.8979706898	2.32515681
39	0.8955310713	2.320125275
40	0.8938246953	2.315102298
41	0.8906168036	2.311644483
42	0.8886800756	2.307379239
43	0.8855673811	2.303542513
44	0.8838064724	2.299589708
45	0.8828837169	2.295376261
46	0.8816015608	2.291249186
47	0.8800730824	2.287974051
48	0.8789855525	2.284005542
49	0.8773162215	2.280839165
50	0.8752747981	2.277663586
51	0.8736312946	2.274284753
52	0.8714968656	2.270896483
53	0.8705500304	2.268722604
54	0.8687518232	2.26603993
55	0.8669831828	2.263592927
56	0.8651692849	2.261519494
57	0.8634503037	2.258703235
58	0.8616656426	2.256267222
59	0.8611399828	2.252928106
60	0.8604454374	2.250645438
61	0.8592910539	2.248450475
62	0.8580489234	2.246627726
63	0.8567532157	2.244720277
64	0.8550871055	2.242822972
65	0.854285855	2.240925149
66	0.853091834	2.23903344
67	0.8526739231	2.23633401
68	0.8521828068	2.233720282
69	0.8506635368	2.232089156
70	0.8494622358	2.229833266
71	0.8485329019	2.228070554
72	0.8481807439	2.226573842
73	0.847311952	2.224608454
74	0.8468977453	2.222979163
75	0.8461207602	2.219980066
76	0.8455805504	2.21852512
77	0.8451644792	2.217416894
78	0.844547027	2.216126878
79	0.8433090406	2.214762769
80	0.8429058694	2.211960478
81	0.8421223765	2.210085652
82	0.8416717851	2.208357424
83	0.8405662527	2.207231553
84	0.8402899981	2.205555034
85	0.8393483886	2.203932806
86	0.8390486459	2.201693372
87	0.8387619858	2.199560842
88	0.8377870169	2.198618051
89	0.8374350259	2.197435814
90	0.8367948009	2.195610871
91	0.8363872338	2.193747517
92	0.8359776716	2.191386482
93	0.8357110517	2.189415665
94	0.8352751147	2.187645783
95	0.835050934	2.185240651
96	0.8348250163	2.184143289
97	0.8341879531	2.182631626
98	0.8339871919	2.180214409
99	0.8332134665	2.179100664
100	0.8327714253	2.177534455
101	0.8325644161	2.175873048
102	0.8320224186	2.174686766
103	0.8318281098	2.173364706
104	0.8316959963	2.171931858
105	0.8315134782	2.171049013
106	0.8308861535	2.16971877
107	0.8307652129	2.168393557
108	0.8305850222	2.167346178
109	0.8304867719	2.165935569
110	0.8301867574	2.164234026
111	0.83007305	2.162756779
112	0.8296837504	2.161230094
113	0.829536195	2.160043887
114	0.829441223	2.158684659
115	0.829098955	2.157279597
116	0.82898835	2.155867996
117	0.8287214907	2.154999262
118	0.8281133108	2.153835631
119	0.828024956	2.152394901
120	0.8279444766	2.151508897
121	0.8277559695	2.149906185
122	0.8275820581	2.148839331
123	0.8274129034	2.146925898
124	0.8273028742	2.146083027
125	0.8271575943	2.145011176
126	0.8266198601	2.144108099
127	0.8264129823	2.143065454
128	0.8263187424	2.141861113
129	0.8258151672	2.141255069
130	0.8256035751	2.140320413
131	0.8250643468	2.139478365
132	0.8249489068	2.137380782
133	0.8247846047	2.136507774
134	0.8246850158	2.135545328
135	0.824475903	2.134294676
136	0.8243824445	2.133638836
137	0.8240200884	2.131528788
138	0.8239552103	2.130592231
139	0.8238546988	2.129164624
140	0.8234449401	2.127888487
141	0.8233241098	2.127275226
142	0.8231418264	2.126387436
143	0.8230785296	2.125465731
144	0.8228537545	2.124298617
145	0.8227350241	2.123527733
146	0.8226151099	2.122660506
147	0.822412671	2.120140571
148	0.8223547814	2.119185289
149	0.8222211567	2.118467057
150	0.8218898964	2.116198725
151	0.8216284629	2.114590865
152	0.8215253835	2.11393741
153	0.8214016244	2.113184509
154	0.8210687065	2.112491978
155	0.8209675099	2.11130743
156	0.8208904099	2.109785954
157	0.8208147198	2.108959527
158	0.820725618	2.108058238
159	0.8205605133	2.105945374
160	0.8203823171	2.104760572
161	0.8201766588	2.103268981
162	0.8200557911	2.102618248
163	0.8199370622	2.10187649
164	0.8198283491	2.101306816
165	0.8197525751	2.10072821
166	0.819646218	2.10000344
167	0.819008699	2.099403577
168	0.8189362133	2.098878904
169	0.8187271035	2.098045114
