iter	Passed	Remaining
0	897	151610
1	1349	113388
2	1703	94842
3	2046	84931
4	2385	78724
5	2698	73766
6	2982	69450
7	3350	67852
8	3688	65980
9	4056	64903
10	4515	65262
11	4922	64817
12	5323	64293
13	5666	63142
14	6072	62751
15	6410	61696
16	6720	60480
17	7031	59373
18	7371	58587
19	7861	58963
20	8234	58427
21	8627	58040
22	8951	57209
23	9348	56869
24	9677	56127
25	10082	55841
26	10441	55301
27	10762	54583
28	11110	54017
29	11467	53515
30	11814	52973
31	12160	52441
32	12742	52902
33	13106	52424
34	13515	52130
35	13862	51600
36	14203	51054
37	14597	50706
38	14990	50352
39	15515	50424
40	15870	49934
41	16253	49535
42	16668	49231
43	17050	48827
44	17510	48639
45	17901	48255
46	18240	47735
47	18643	47386
48	19060	47066
49	19453	46688
50	19819	46245
51	20181	45795
52	20656	45600
53	21050	45219
54	21407	44761
55	21800	44378
56	22164	43941
57	22543	43531
58	22953	43183
59	23345	42799
60	23652	42265
61	24023	41848
62	24365	41383
63	24712	40930
64	25492	41179
65	25890	40796
66	26277	40396
67	26601	39902
68	26988	39504
69	27496	39280
70	27942	38962
71	28411	38671
72	28693	38126
73	29109	37763
74	29375	37209
75	29737	36780
76	30014	36251
77	30309	35749
78	30633	35287
79	30992	34866
80	31281	34370
81	31670	33988
82	31998	33540
83	32367	33137
84	32677	32677
85	33031	32262
86	33330	31798
87	33593	31303
88	34016	30959
89	34312	30500
90	34726	30147
91	35021	29691
92	35453	29354
93	35854	28988
94	36162	28549
95	36482	28121
96	36788	27686
97	37328	27424
98	37830	27130
99	38209	26746
100	38632	26392
101	38956	25971
102	39304	25566
103	39567	25110
104	39839	24662
105	40109	24217
106	40551	23875
107	40851	23451
108	41155	23031
109	41439	22603
110	41731	22181
111	42066	21784
112	42575	21476
113	42900	21073
114	43193	20657
115	43504	20251
116	43865	19870
117	44131	19447
118	44495	19069
119	44758	18649
120	45059	18247
121	45393	17859
122	45674	17452
123	46049	17082
124	46293	16665
125	46602	16273
126	46935	15891
127	47205	15489
128	47561	15116
129	47906	14740
130	48183	14344
131	48470	13953
132	48792	13573
133	49109	13193
134	49415	12811
135	49688	12422
136	49974	12037
137	50339	11672
138	50640	11293
139	50961	10920
140	51394	10570
141	51711	10196
142	51964	9811
143	52276	9438
144	52621	9072
145	52915	8698
146	53181	8320
147	53556	7961
148	53852	7589
149	54097	7212
150	54445	6850
151	54792	6488
152	55077	6119
153	55429	5758
154	55838	5403
155	56226	5046
156	56545	4682
157	57014	4330
158	57306	3964
159	57698	3606
160	57970	3240
161	58393	2883
162	58623	2517
163	58888	2154
164	59151	1792
165	59476	1433
166	59783	1073
167	60126	715
168	60436	357
169	60694	0
